coicop,unit,geotime,date,value
CP07,I15,AT,2017-10-01,101
CP07,I15,AT,2017-11-01,101
CP07,I15,AT,2017-12-01,102
CP07,I15,AT,2018-01-01,102
CP07,I15,AT,2018-02-01,102
CP07,I15,AT,2018-03-01,102
CP07,I15,AT,2018-04-01,103
CP07,I15,AT,2018-05-01,104
CP07,I15,AT,2018-06-01,105
CP07,I15,AT,2018-07-01,105
CP07,I15,AT,2018-08-01,106
CP07,I15,AT,2018-09-01,105
CP07,I15,BE,2017-10-01,104
CP07,I15,BE,2017-11-01,105
CP07,I15,BE,2017-12-01,105
CP07,I15,BE,2018-01-01,105
CP07,I15,BE,2018-02-01,105
CP07,I15,BE,2018-03-01,105
CP07,I15,BE,2018-04-01,106
CP07,I15,BE,2018-05-01,107
CP07,I15,BE,2018-06-01,108
CP07,I15,BE,2018-07-01,109
CP07,I15,BE,2018-08-01,109
CP07,I15,BE,2018-09-01,109
CP07,I15,BG,2017-10-01,93
CP07,I15,BG,2017-11-01,93
CP07,I15,BG,2017-12-01,95
CP07,I15,BG,2018-01-01,95
CP07,I15,BG,2018-02-01,95
CP07,I15,BG,2018-03-01,94
CP07,I15,BG,2018-04-01,95
CP07,I15,BG,2018-05-01,97
CP07,I15,BG,2018-06-01,98
CP07,I15,BG,2018-07-01,99
CP07,I15,BG,2018-08-01,100
CP07,I15,BG,2018-09-01,100
CP07,I15,CH,2017-10-01,98
CP07,I15,CH,2017-11-01,97
CP07,I15,CH,2017-12-01,98
CP07,I15,CH,2018-01-01,97
CP07,I15,CH,2018-02-01,97
CP07,I15,CH,2018-03-01,98
CP07,I15,CH,2018-04-01,99
CP07,I15,CH,2018-05-01,101
CP07,I15,CH,2018-06-01,101
CP07,I15,CH,2018-07-01,103
CP07,I15,CH,2018-08-01,102
CP07,I15,CH,2018-09-01,102
CP07,I15,CY,2017-10-01,95
CP07,I15,CY,2017-11-01,94
CP07,I15,CY,2017-12-01,95
CP07,I15,CY,2018-01-01,91
CP07,I15,CY,2018-02-01,95
CP07,I15,CY,2018-03-01,95
CP07,I15,CY,2018-04-01,97
CP07,I15,CY,2018-05-01,96
CP07,I15,CY,2018-06-01,99
CP07,I15,CY,2018-07-01,100
CP07,I15,CY,2018-08-01,104
CP07,I15,CY,2018-09-01,97
CP07,I15,CZ,2017-10-01,101
CP07,I15,CZ,2017-11-01,102
CP07,I15,CZ,2017-12-01,102
CP07,I15,CZ,2018-01-01,102
CP07,I15,CZ,2018-02-01,103
CP07,I15,CZ,2018-03-01,103
CP07,I15,CZ,2018-04-01,103
CP07,I15,CZ,2018-05-01,104
CP07,I15,CZ,2018-06-01,106
CP07,I15,CZ,2018-07-01,106
CP07,I15,CZ,2018-08-01,106
CP07,I15,CZ,2018-09-01,105
CP07,I15,DE,2017-10-01,102
CP07,I15,DE,2017-11-01,102
CP07,I15,DE,2017-12-01,102
CP07,I15,DE,2018-01-01,103
CP07,I15,DE,2018-02-01,103
CP07,I15,DE,2018-03-01,102
CP07,I15,DE,2018-04-01,103
CP07,I15,DE,2018-05-01,105
CP07,I15,DE,2018-06-01,105
CP07,I15,DE,2018-07-01,105
CP07,I15,DE,2018-08-01,106
CP07,I15,DE,2018-09-01,106
CP07,I15,DK,2017-10-01,100
CP07,I15,DK,2017-11-01,100
CP07,I15,DK,2017-12-01,100
CP07,I15,DK,2018-01-01,100
CP07,I15,DK,2018-02-01,100
CP07,I15,DK,2018-03-01,100
CP07,I15,DK,2018-04-01,101
CP07,I15,DK,2018-05-01,102
CP07,I15,DK,2018-06-01,102
CP07,I15,DK,2018-07-01,103
CP07,I15,DK,2018-08-01,103
CP07,I15,DK,2018-09-01,102
CP07,I15,EA,2017-10-01,101
CP07,I15,EA,2017-11-01,102
CP07,I15,EA,2017-12-01,102
CP07,I15,EA,2018-01-01,102
CP07,I15,EA,2018-02-01,103
CP07,I15,EA,2018-03-01,103
CP07,I15,EA,2018-04-01,104
CP07,I15,EA,2018-05-01,105
CP07,I15,EA,2018-06-01,105
CP07,I15,EA,2018-07-01,106
CP07,I15,EA,2018-08-01,107
CP07,I15,EA,2018-09-01,106
CP07,I15,EA18,2017-10-01,101
CP07,I15,EA18,2017-11-01,102
CP07,I15,EA18,2017-12-01,102
CP07,I15,EA18,2018-01-01,102
CP07,I15,EA18,2018-02-01,103
CP07,I15,EA18,2018-03-01,103
CP07,I15,EA18,2018-04-01,104
CP07,I15,EA18,2018-05-01,105
CP07,I15,EA18,2018-06-01,105
CP07,I15,EA18,2018-07-01,106
CP07,I15,EA18,2018-08-01,107
CP07,I15,EA18,2018-09-01,106
CP07,I15,EA19,2017-10-01,101
CP07,I15,EA19,2017-11-01,102
CP07,I15,EA19,2017-12-01,102
CP07,I15,EA19,2018-01-01,102
CP07,I15,EA19,2018-02-01,103
CP07,I15,EA19,2018-03-01,103
CP07,I15,EA19,2018-04-01,104
