sex,age,unit,geotime,date,value
T,Y_LT60,PC_Y_LT60,AT,2003-01-01,
T,Y_LT60,PC_Y_LT60,AT,2004-01-01,6
T,Y_LT60,PC_Y_LT60,AT,2005-01-01,7
T,Y_LT60,PC_Y_LT60,AT,2006-01-01,8
T,Y_LT60,PC_Y_LT60,AT,2007-01-01,8
T,Y_LT60,PC_Y_LT60,AT,2008-01-01,7
T,Y_LT60,PC_Y_LT60,AT,2009-01-01,7
T,Y_LT60,PC_Y_LT60,AT,2010-01-01,7
T,Y_LT60,PC_Y_LT60,AT,2011-01-01,8
T,Y_LT60,PC_Y_LT60,AT,2012-01-01,7
T,Y_LT60,PC_Y_LT60,AT,2013-01-01,
T,Y_LT60,PC_Y_LT60,AT,2014-01-01,9
T,Y_LT60,PC_Y_LT60,AT,2015-01-01,8
T,Y_LT60,PC_Y_LT60,AT,2016-01-01,8
T,Y_LT60,PC_Y_LT60,AT,2017-01-01,8
T,Y_LT60,PC_Y_LT60,BE,2003-01-01,15
T,Y_LT60,PC_Y_LT60,BE,2004-01-01,14
T,Y_LT60,PC_Y_LT60,BE,2005-01-01,15
T,Y_LT60,PC_Y_LT60,BE,2006-01-01,14
T,Y_LT60,PC_Y_LT60,BE,2007-01-01,13
T,Y_LT60,PC_Y_LT60,BE,2008-01-01,11
T,Y_LT60,PC_Y_LT60,BE,2009-01-01,12
T,Y_LT60,PC_Y_LT60,BE,2010-01-01,12
T,Y_LT60,PC_Y_LT60,BE,2011-01-01,13
T,Y_LT60,PC_Y_LT60,BE,2012-01-01,13
T,Y_LT60,PC_Y_LT60,BE,2013-01-01,
T,Y_LT60,PC_Y_LT60,BE,2014-01-01,14
T,Y_LT60,PC_Y_LT60,BE,2015-01-01,14
T,Y_LT60,PC_Y_LT60,BE,2016-01-01,14
T,Y_LT60,PC_Y_LT60,BE,2017-01-01,13
T,Y_LT60,PC_Y_LT60,BG,2003-01-01,
T,Y_LT60,PC_Y_LT60,BG,2004-01-01,
T,Y_LT60,PC_Y_LT60,BG,2005-01-01,
T,Y_LT60,PC_Y_LT60,BG,2006-01-01,14
T,Y_LT60,PC_Y_LT60,BG,2007-01-01,16
T,Y_LT60,PC_Y_LT60,BG,2008-01-01,8
T,Y_LT60,PC_Y_LT60,BG,2009-01-01,6
T,Y_LT60,PC_Y_LT60,BG,2010-01-01,8
T,Y_LT60,PC_Y_LT60,BG,2011-01-01,11
T,Y_LT60,PC_Y_LT60,BG,2012-01-01,12
T,Y_LT60,PC_Y_LT60,BG,2013-01-01,
T,Y_LT60,PC_Y_LT60,BG,2014-01-01,12
T,Y_LT60,PC_Y_LT60,BG,2015-01-01,11
T,Y_LT60,PC_Y_LT60,BG,2016-01-01,11
T,Y_LT60,PC_Y_LT60,BG,2017-01-01,11
T,Y_LT60,PC_Y_LT60,CY,2003-01-01,
T,Y_LT60,PC_Y_LT60,CY,2004-01-01,
T,Y_LT60,PC_Y_LT60,CY,2005-01-01,4
T,Y_LT60,PC_Y_LT60,CY,2006-01-01,3
T,Y_LT60,PC_Y_LT60,CY,2007-01-01,3
T,Y_LT60,PC_Y_LT60,CY,2008-01-01,4
T,Y_LT60,PC_Y_LT60,CY,2009-01-01,4
