unit,geotime,date,value
EUR_HAB,AT,2000-01-01,75.6
EUR_HAB,AT,2001-01-01,80.3
EUR_HAB,AT,2002-01-01,81.4
EUR_HAB,AT,2003-01-01,85.3
EUR_HAB,AT,2004-01-01,87.1
EUR_HAB,AT,2005-01-01,84.5
EUR_HAB,AT,2006-01-01,85.7
EUR_HAB,AT,2007-01-01,87.2
EUR_HAB,AT,2008-01-01,93.1
EUR_HAB,AT,2009-01-01,99.0
EUR_HAB,AT,2010-01-01,98.4
EUR_HAB,AT,2011-01-01,100.4
EUR_HAB,AT,2012-01-01,104.3
EUR_HAB,AT,2013-01-01,105.4
EUR_HAB,AT,2014-01-01,112.5
EUR_HAB,AT,2015-01-01,116.5
EUR_HAB,AT,2016-01-01,116.1
EUR_HAB,AT,2017-01-01,
EUR_HAB,BE,2000-01-01,
EUR_HAB,BE,2001-01-01,68.7
EUR_HAB,BE,2002-01-01,77.2
EUR_HAB,BE,2003-01-01,80.5
EUR_HAB,BE,2004-01-01,80.3
EUR_HAB,BE,2005-01-01,82.5
EUR_HAB,BE,2006-01-01,90.3
EUR_HAB,BE,2007-01-01,86.3
EUR_HAB,BE,2008-01-01,94.5
EUR_HAB,BE,2009-01-01,91.7
EUR_HAB,BE,2010-01-01,95.2
EUR_HAB,BE,2011-01-01,96.0
EUR_HAB,BE,2012-01-01,105.7
EUR_HAB,BE,2013-01-01,100.4
EUR_HAB,BE,2014-01-01,97.1
EUR_HAB,BE,2015-01-01,91.7
EUR_HAB,BE,2016-01-01,100.3
EUR_HAB,BE,2017-01-01,
EUR_HAB,BG,2000-01-01,6.8
EUR_HAB,BG,2001-01-01,7.0
EUR_HAB,BG,2002-01-01,8.5
EUR_HAB,BG,2003-01-01,11.2
EUR_HAB,BG,2004-01-01,14.9
EUR_HAB,BG,2005-01-01,17.9
EUR_HAB,BG,2006-01-01,22.4
EUR_HAB,BG,2007-01-01,31.3
EUR_HAB,BG,2008-01-01,34.8
EUR_HAB,BG,2009-01-01,33.9
EUR_HAB,BG,2010-01-01,27.8
EUR_HAB,BG,2011-01-01,34.6
EUR_HAB,BG,2012-01-01,33.9
EUR_HAB,BG,2013-01-01,36.6
EUR_HAB,BG,2014-01-01,39.3
EUR_HAB,BG,2015-01-01,42.3
EUR_HAB,BG,2016-01-01,42.2
EUR_HAB,BG,2017-01-01,
EUR_HAB,CH,2000-01-01,103.0
EUR_HAB,CH,2001-01-01,108.0
EUR_HAB,CH,2002-01-01,115.0
EUR_HAB,CH,2003-01-01,115.3
EUR_HAB,CH,2004-01-01,119.4
EUR_HAB,CH,2005-01-01,124.0
EUR_HAB,CH,2006-01-01,124.1
EUR_HAB,CH,2007-01-01,123.1
EUR_HAB,CH,2008-01-01,122.1
EUR_HAB,CH,2009-01-01,130.9
EUR_HAB,CH,2010-01-01,146.5
EUR_HAB,CH,2011-01-01,187.3
EUR_HAB,CH,2012-01-01,189.0
EUR_HAB,CH,2013-01-01,185.9
EUR_HAB,CH,2014-01-01,189.5
EUR_HAB,CH,2015-01-01,217.4
EUR_HAB,CH,2016-01-01,210.3
EUR_HAB,CH,2017-01-01,
EUR_HAB,CY,2000-01-01,20.6
EUR_HAB,CY,2001-01-01,22.0
EUR_HAB,CY,2002-01-01,24.0
EUR_HAB,CY,2003-01-01,27.8
EUR_HAB,CY,2004-01-01,27.9
EUR_HAB,CY,2005-01-01,29.2
EUR_HAB,CY,2006-01-01,31.2
EUR_HAB,CY,2007-01-01,32.3
EUR_HAB,CY,2008-01-01,31.7
EUR_HAB,CY,2009-01-01,31.9
EUR_HAB,CY,2010-01-01,30.7
EUR_HAB,CY,2011-01-01,30.9
EUR_HAB,CY,2012-01-01,30.1
EUR_HAB,CY,2013-01-01,29.7
EUR_HAB,CY,2014-01-01,25.6
EUR_HAB,CY,2015-01-01,25.5
EUR_HAB,CY,2016-01-01,27.0
EUR_HAB,CY,2017-01-01,
EUR_HAB,CZ,2000-01-01,19.5
EUR_HAB,CZ,2001-01-01,22.1
EUR_HAB,CZ,2002-01-01,27.4
EUR_HAB,CZ,2003-01-01,27.9
EUR_HAB,CZ,2004-01-01,28.3
EUR_HAB,CZ,2005-01-01,34.3
EUR_HAB,CZ,2006-01-01,35.9
EUR_HAB,CZ,2007-01-01,39.1
EUR_HAB,CZ,2008-01-01,46.2
EUR_HAB,CZ,2009-01-01,45.5
EUR_HAB,CZ,2010-01-01,44.6
EUR_HAB,CZ,2011-01-01,46.5
EUR_HAB,CZ,2012-01-01,44.0
EUR_HAB,CZ,2013-01-01,45.3
EUR_HAB,CZ,2014-01-01,44.0
EUR_HAB,CZ,2015-01-01,51.9
EUR_HAB,CZ,2016-01-01,51.9
EUR_HAB,CZ,2017-01-01,
EUR_HAB,DE,2000-01-01,109.5
EUR_HAB,DE,2001-01-01,114.0
EUR_HAB,DE,2002-01-01,117.7
EUR_HAB,DE,2003-01-01,117.3
EUR_HAB,DE,2004-01-01,118.6
EUR_HAB,DE,2005-01-01,122.3
EUR_HAB,DE,2006-01-01,124.5
EUR_HAB,DE,2007-01-01,124.7
EUR_HAB,DE,2008-01-01,127.6
EUR_HAB,DE,2009-01-01,131.4
EUR_HAB,DE,2010-01-01,133.5
EUR_HAB,DE,2011-01-01,135.5
EUR_HAB,DE,2012-01-01,137.2
EUR_HAB,DE,2013-01-01,142.6
EUR_HAB,DE,2014-01-01,147.8
EUR_HAB,DE,2015-01-01,148.5
EUR_HAB,DE,2016-01-01,155.4
EUR_HAB,DE,2017-01-01,
EUR_HAB,DK,2000-01-01,59.1
EUR_HAB,DK,2001-01-01,59.8
EUR_HAB,DK,2002-01-01,60.9
EUR_HAB,DK,2003-01-01,64.7
EUR_HAB,DK,2004-01-01,68.0
EUR_HAB,DK,2005-01-01,68.0
EUR_HAB,DK,2006-01-01,74.3
EUR_HAB,DK,2007-01-01,77.9
EUR_HAB,DK,2008-01-01,81.8
EUR_HAB,DK,2009-01-01,93.8
EUR_HAB,DK,2010-01-01,85.3
EUR_HAB,DK,2011-01-01,99.1
EUR_HAB,DK,2012-01-01,89.8
EUR_HAB,DK,2013-01-01,79.4
EUR_HAB,DK,2014-01-01,79.8
EUR_HAB,DK,2015-01-01,79.6
EUR_HAB,DK,2016-01-01,80.6
EUR_HAB,DK,2017-01-01,77.1
EUR_HAB,EA19,2000-01-01,
EUR_HAB,EA19,2001-01-01,
EUR_HAB,EA19,2002-01-01,
EUR_HAB,EA19,2003-01-01,
