na_item,nace_r2,unit,geotime,date,value
EMP_DC,TOTAL,PCH_PRE_PER,AT,1995-01-01,
EMP_DC,TOTAL,PCH_PRE_PER,AT,1996-01-01,0.4 
EMP_DC,TOTAL,PCH_PRE_PER,AT,1997-01-01,0.7 
EMP_DC,TOTAL,PCH_PRE_PER,AT,1998-01-01,1.0 
EMP_DC,TOTAL,PCH_PRE_PER,AT,1999-01-01,1.5 
EMP_DC,TOTAL,PCH_PRE_PER,AT,2000-01-01,0.9 
EMP_DC,TOTAL,PCH_PRE_PER,AT,2001-01-01,0.7 
EMP_DC,TOTAL,PCH_PRE_PER,AT,2002-01-01,-0.1 
EMP_DC,TOTAL,PCH_PRE_PER,AT,2003-01-01,0.7 
EMP_DC,TOTAL,PCH_PRE_PER,AT,2004-01-01,0.6 
EMP_DC,TOTAL,PCH_PRE_PER,AT,2005-01-01,1.2 
EMP_DC,TOTAL,PCH_PRE_PER,AT,2006-01-01,1.8 
EMP_DC,TOTAL,PCH_PRE_PER,AT,2007-01-01,1.8 
EMP_DC,TOTAL,PCH_PRE_PER,AT,2008-01-01,1.9 
EMP_DC,TOTAL,PCH_PRE_PER,AT,2009-01-01,-0.5 
EMP_DC,TOTAL,PCH_PRE_PER,AT,2010-01-01,0.8 
EMP_DC,TOTAL,PCH_PRE_PER,AT,2011-01-01,1.6 
EMP_DC,TOTAL,PCH_PRE_PER,AT,2012-01-01,1.0 
EMP_DC,TOTAL,PCH_PRE_PER,AT,2013-01-01,0.3 
EMP_DC,TOTAL,PCH_PRE_PER,AT,2014-01-01,1.0 
EMP_DC,TOTAL,PCH_PRE_PER,AT,2015-01-01,0.6 
EMP_DC,TOTAL,PCH_PRE_PER,AT,2016-01-01,1.3 
EMP_DC,TOTAL,PCH_PRE_PER,AT,2017-01-01,1.7 
EMP_DC,TOTAL,PCH_PRE_PER,BE,1995-01-01,
EMP_DC,TOTAL,PCH_PRE_PER,BE,1996-01-01,0.3 
EMP_DC,TOTAL,PCH_PRE_PER,BE,1997-01-01,0.7 
EMP_DC,TOTAL,PCH_PRE_PER,BE,1998-01-01,1.8 
EMP_DC,TOTAL,PCH_PRE_PER,BE,1999-01-01,1.4 
EMP_DC,TOTAL,PCH_PRE_PER,BE,2000-01-01,2.0 
EMP_DC,TOTAL,PCH_PRE_PER,BE,2001-01-01,1.4 
EMP_DC,TOTAL,PCH_PRE_PER,BE,2002-01-01,-0.2 
EMP_DC,TOTAL,PCH_PRE_PER,BE,2003-01-01,-0.1 
EMP_DC,TOTAL,PCH_PRE_PER,BE,2004-01-01,1.0 
EMP_DC,TOTAL,PCH_PRE_PER,BE,2005-01-01,1.4 
EMP_DC,TOTAL,PCH_PRE_PER,BE,2006-01-01,1.1 
EMP_DC,TOTAL,PCH_PRE_PER,BE,2007-01-01,1.7 
EMP_DC,TOTAL,PCH_PRE_PER,BE,2008-01-01,1.8 
EMP_DC,TOTAL,PCH_PRE_PER,BE,2009-01-01,-0.2 
EMP_DC,TOTAL,PCH_PRE_PER,BE,2010-01-01,0.6 
EMP_DC,TOTAL,PCH_PRE_PER,BE,2011-01-01,1.4 
EMP_DC,TOTAL,PCH_PRE_PER,BE,2012-01-01,0.4 
EMP_DC,TOTAL,PCH_PRE_PER,BE,2013-01-01,-0.3 
