unit,geo,materialtime,date,value
PC,EU28,AL,2015-01-01,
PC,EU28,AL,2016-01-01,
PC,EU28,BE,2015-01-01,
PC,EU28,BE,2016-01-01,
PC,EU28,BI,2015-01-01,
PC,EU28,BI,2016-01-01,
PC,EU28,CO,2015-01-01,
PC,EU28,CO,2016-01-01,
PC,EU28,CROC,2015-01-01,
PC,EU28,CROC,2016-01-01,
PC,EU28,CU,2015-01-01,
PC,EU28,CU,2016-01-01,
PC,EU28,DY,2015-01-01,
PC,EU28,DY,2016-01-01,
PC,EU28,FE,2015-01-01,
PC,EU28,FE,2016-01-01,
PC,EU28,GA,2015-01-01,
PC,EU28,GA,2016-01-01,
PC,EU28,GE,2015-01-01,
PC,EU28,GE,2016-01-01,
PC,EU28,GP,2015-01-01,
PC,EU28,GP,2016-01-01,
PC,EU28,IN,2015-01-01,
PC,EU28,IN,2016-01-01,
PC,EU28,LI,2015-01-01,
PC,EU28,LI,2016-01-01,
PC,EU28,LST,2015-01-01,
PC,EU28,LST,2016-01-01,
PC,EU28,MG,2015-01-01,
PC,EU28,MG,2016-01-01,
PC,EU28,MO,2015-01-01,
PC,EU28,MO,2016-01-01,
PC,EU28,ND,2015-01-01,
PC,EU28,ND,2016-01-01,
PC,EU28,NI,2015-01-01,
PC,EU28,NI,2016-01-01,
PC,EU28,PB,2015-01-01,
PC,EU28,PB,2016-01-01,
PC,EU28,PD,2015-01-01,
PC,EU28,PD,2016-01-01,
PC,EU28,PR,2015-01-01,
PC,EU28,PR,2016-01-01,
PC,EU28,PT,2015-01-01,
PC,EU28,PT,2016-01-01,
PC,EU28,RUBB,2015-01-01,
PC,EU28,RUBB,2016-01-01,
PC,EU28,SAPE,2015-01-01,
PC,EU28,SAPE,2016-01-01,
PC,EU28,TA,2015-01-01,
PC,EU28,TA,2016-01-01,
PC,EU28,TE,2015-01-01,
PC,EU28,TE,2016-01-01,
PC,EU28,TI,2015-01-01,
PC,EU28,TI,2016-01-01,
PC,EU28,V,2015-01-01,
PC,EU28,V,2016-01-01,
PC,EU28,Y,2015-01-01,
PC,EU28,Y,2016-01-01,
PC,EU28,ZN,2015-01-01,
PC,EU28,ZN,2016-01-01,
