waste,hazard,nace_r2,unit,geotime,date,value
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,AL,2004-01-01,
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,AL,2006-01-01,
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,AL,2008-01-01,
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,AL,2010-01-01,
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,AL,2012-01-01,
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,AL,2014-01-01,425.0
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,AL,2016-01-01,
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,AT,2004-01-01,2853.0
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,AT,2006-01-01,2752.0
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,AT,2008-01-01,2754.0
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,AT,2010-01-01,1903.0
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,AT,2012-01-01,1735.0
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,AT,2014-01-01,1838.0
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,AT,2016-01-01,1886.0
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,BA,2004-01-01,
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,BA,2006-01-01,
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,BA,2008-01-01,
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,BA,2010-01-01,
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,BA,2012-01-01,1061.0
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,BA,2014-01-01,
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,BA,2016-01-01,
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,BE,2004-01-01,3285.0
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,BE,2006-01-01,3222.0
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,BE,2008-01-01,2413.0
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,BE,2010-01-01,3619.0
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,BE,2012-01-01,3185.0
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,BE,2014-01-01,3125.0
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,BE,2016-01-01,3383.0
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,BG,2004-01-01,2174.0
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,BG,2006-01-01,1891.0
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,BG,2008-01-01,2298.0
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,BG,2010-01-01,2002.0
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,BG,2012-01-01,2456.0
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,BG,2014-01-01,2474.0
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,BG,2016-01-01,2527.0
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,CY,2004-01-01,2607.0
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,CY,2006-01-01,1185.0
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,CY,2008-01-01,1052.0
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,CY,2010-01-01,1042.0
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,CY,2012-01-01,964.0
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,CY,2014-01-01,792.0
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,CY,2016-01-01,839.0
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,CZ,2004-01-01,1736.0
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,CZ,2006-01-01,1276.0
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,CZ,2008-01-01,1193.0
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,CZ,2010-01-01,1182.0
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,CZ,2012-01-01,1197.0
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,CZ,2014-01-01,1118.0
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,CZ,2016-01-01,1214.0
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,DE,2004-01-01,1473.0
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,DE,2006-01-01,1466.0
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,DE,2008-01-01,1577.0
