sex,age,indic_eu,unit,geotime,date,value
T,Y_LT60,T2020_51,PC_Y_LT60,AT,2003-01-01,
T,Y_LT60,T2020_51,PC_Y_LT60,AT,2004-01-01,6.8
T,Y_LT60,T2020_51,PC_Y_LT60,AT,2005-01-01,7.3
T,Y_LT60,T2020_51,PC_Y_LT60,AT,2006-01-01,8.1
T,Y_LT60,T2020_51,PC_Y_LT60,AT,2007-01-01,8.2
T,Y_LT60,T2020_51,PC_Y_LT60,AT,2008-01-01,7.4
T,Y_LT60,T2020_51,PC_Y_LT60,AT,2009-01-01,7.1
T,Y_LT60,T2020_51,PC_Y_LT60,AT,2010-01-01,7.8
T,Y_LT60,T2020_51,PC_Y_LT60,AT,2011-01-01,8.6
T,Y_LT60,T2020_51,PC_Y_LT60,AT,2012-01-01,7.7
T,Y_LT60,T2020_51,PC_Y_LT60,AT,2013-01-01,7.8
T,Y_LT60,T2020_51,PC_Y_LT60,AT,2014-01-01,9.1
T,Y_LT60,T2020_51,PC_Y_LT60,AT,2015-01-01,8.2
T,Y_LT60,T2020_51,PC_Y_LT60,AT,2016-01-01,8.1
T,Y_LT60,T2020_51,PC_Y_LT60,AT,2017-01-01,8.3
T,Y_LT60,T2020_51,PC_Y_LT60,BE,2003-01-01,15.4
T,Y_LT60,T2020_51,PC_Y_LT60,BE,2004-01-01,14.7
T,Y_LT60,T2020_51,PC_Y_LT60,BE,2005-01-01,15.1
T,Y_LT60,T2020_51,PC_Y_LT60,BE,2006-01-01,14.3
T,Y_LT60,T2020_51,PC_Y_LT60,BE,2007-01-01,13.8
T,Y_LT60,T2020_51,PC_Y_LT60,BE,2008-01-01,11.7
T,Y_LT60,T2020_51,PC_Y_LT60,BE,2009-01-01,12.3
T,Y_LT60,T2020_51,PC_Y_LT60,BE,2010-01-01,12.7
T,Y_LT60,T2020_51,PC_Y_LT60,BE,2011-01-01,13.8
T,Y_LT60,T2020_51,PC_Y_LT60,BE,2012-01-01,13.9
T,Y_LT60,T2020_51,PC_Y_LT60,BE,2013-01-01,14.0
T,Y_LT60,T2020_51,PC_Y_LT60,BE,2014-01-01,14.6
T,Y_LT60,T2020_51,PC_Y_LT60,BE,2015-01-01,14.9
T,Y_LT60,T2020_51,PC_Y_LT60,BE,2016-01-01,14.6
T,Y_LT60,T2020_51,PC_Y_LT60,BE,2017-01-01,13.5
T,Y_LT60,T2020_51,PC_Y_LT60,BG,2003-01-01,
T,Y_LT60,T2020_51,PC_Y_LT60,BG,2004-01-01,
T,Y_LT60,T2020_51,PC_Y_LT60,BG,2005-01-01,
T,Y_LT60,T2020_51,PC_Y_LT60,BG,2006-01-01,14.7
T,Y_LT60,T2020_51,PC_Y_LT60,BG,2007-01-01,16.0
T,Y_LT60,T2020_51,PC_Y_LT60,BG,2008-01-01,8.1
T,Y_LT60,T2020_51,PC_Y_LT60,BG,2009-01-01,6.9
T,Y_LT60,T2020_51,PC_Y_LT60,BG,2010-01-01,8.0
T,Y_LT60,T2020_51,PC_Y_LT60,BG,2011-01-01,11.0
T,Y_LT60,T2020_51,PC_Y_LT60,BG,2012-01-01,12.5
T,Y_LT60,T2020_51,PC_Y_LT60,BG,2013-01-01,13.0
T,Y_LT60,T2020_51,PC_Y_LT60,BG,2014-01-01,12.1
T,Y_LT60,T2020_51,PC_Y_LT60,BG,2015-01-01,11.6
T,Y_LT60,T2020_51,PC_Y_LT60,BG,2016-01-01,11.9
T,Y_LT60,T2020_51,PC_Y_LT60,BG,2017-01-01,11.1
T,Y_LT60,T2020_51,PC_Y_LT60,CH,2003-01-01,
T,Y_LT60,T2020_51,PC_Y_LT60,CH,2004-01-01,
T,Y_LT60,T2020_51,PC_Y_LT60,CH,2005-01-01,
T,Y_LT60,T2020_51,PC_Y_LT60,CH,2006-01-01,
T,Y_LT60,T2020_51,PC_Y_LT60,CH,2007-01-01,4.5
T,Y_LT60,T2020_51,PC_Y_LT60,CH,2008-01-01,3.3
T,Y_LT60,T2020_51,PC_Y_LT60,CH,2009-01-01,4.0
T,Y_LT60,T2020_51,PC_Y_LT60,CH,2010-01-01,4.1
T,Y_LT60,T2020_51,PC_Y_LT60,CH,2011-01-01,4.7
T,Y_LT60,T2020_51,PC_Y_LT60,CH,2012-01-01,3.5
T,Y_LT60,T2020_51,PC_Y_LT60,CH,2013-01-01,4.1
T,Y_LT60,T2020_51,PC_Y_LT60,CH,2014-01-01,4.8
T,Y_LT60,T2020_51,PC_Y_LT60,CH,2015-01-01,5.3
T,Y_LT60,T2020_51,PC_Y_LT60,CH,2016-01-01,5.5
T,Y_LT60,T2020_51,PC_Y_LT60,CH,2017-01-01,
T,Y_LT60,T2020_51,PC_Y_LT60,CY,2003-01-01,
T,Y_LT60,T2020_51,PC_Y_LT60,CY,2004-01-01,
T,Y_LT60,T2020_51,PC_Y_LT60,CY,2005-01-01,4.4
T,Y_LT60,T2020_51,PC_Y_LT60,CY,2006-01-01,3.8
T,Y_LT60,T2020_51,PC_Y_LT60,CY,2007-01-01,3.7
T,Y_LT60,T2020_51,PC_Y_LT60,CY,2008-01-01,4.5
T,Y_LT60,T2020_51,PC_Y_LT60,CY,2009-01-01,4.0
T,Y_LT60,T2020_51,PC_Y_LT60,CY,2010-01-01,4.9
T,Y_LT60,T2020_51,PC_Y_LT60,CY,2011-01-01,4.9
T,Y_LT60,T2020_51,PC_Y_LT60,CY,2012-01-01,6.5
T,Y_LT60,T2020_51,PC_Y_LT60,CY,2013-01-01,7.9
T,Y_LT60,T2020_51,PC_Y_LT60,CY,2014-01-01,9.7
T,Y_LT60,T2020_51,PC_Y_LT60,CY,2015-01-01,10.9
T,Y_LT60,T2020_51,PC_Y_LT60,CY,2016-01-01,10.6
T,Y_LT60,T2020_51,PC_Y_LT60,CY,2017-01-01,9.4
T,Y_LT60,T2020_51,PC_Y_LT60,CZ,2003-01-01,
T,Y_LT60,T2020_51,PC_Y_LT60,CZ,2004-01-01,
T,Y_LT60,T2020_51,PC_Y_LT60,CZ,2005-01-01,8.9
T,Y_LT60,T2020_51,PC_Y_LT60,CZ,2006-01-01,8.9
T,Y_LT60,T2020_51,PC_Y_LT60,CZ,2007-01-01,8.6
T,Y_LT60,T2020_51,PC_Y_LT60,CZ,2008-01-01,7.2
T,Y_LT60,T2020_51,PC_Y_LT60,CZ,2009-01-01,6.0
T,Y_LT60,T2020_51,PC_Y_LT60,CZ,2010-01-01,6.4
T,Y_LT60,T2020_51,PC_Y_LT60,CZ,2011-01-01,6.6
T,Y_LT60,T2020_51,PC_Y_LT60,CZ,2012-01-01,6.8
T,Y_LT60,T2020_51,PC_Y_LT60,CZ,2013-01-01,6.9
T,Y_LT60,T2020_51,PC_Y_LT60,CZ,2014-01-01,7.6
T,Y_LT60,T2020_51,PC_Y_LT60,CZ,2015-01-01,6.8
T,Y_LT60,T2020_51,PC_Y_LT60,CZ,2016-01-01,6.7
T,Y_LT60,T2020_51,PC_Y_LT60,CZ,2017-01-01,5.5
T,Y_LT60,T2020_51,PC_Y_LT60,DE,2003-01-01,
T,Y_LT60,T2020_51,PC_Y_LT60,DE,2004-01-01,
T,Y_LT60,T2020_51,PC_Y_LT60,DE,2005-01-01,12.0
T,Y_LT60,T2020_51,PC_Y_LT60,DE,2006-01-01,13.6
T,Y_LT60,T2020_51,PC_Y_LT60,DE,2007-01-01,11.5
T,Y_LT60,T2020_51,PC_Y_LT60,DE,2008-01-01,11.7
T,Y_LT60,T2020_51,PC_Y_LT60,DE,2009-01-01,10.9
T,Y_LT60,T2020_51,PC_Y_LT60,DE,2010-01-01,11.2
T,Y_LT60,T2020_51,PC_Y_LT60,DE,2011-01-01,11.2
T,Y_LT60,T2020_51,PC_Y_LT60,DE,2012-01-01,9.9
T,Y_LT60,T2020_51,PC_Y_LT60,DE,2013-01-01,9.9
T,Y_LT60,T2020_51,PC_Y_LT60,DE,2014-01-01,10.0
