na_item,sector,cofog99,unit,geo\time,date,value
TE,S13,GF07,PC_GDP,AT,2005-01-01,7.4 
TE,S13,GF07,PC_GDP,AT,2006-01-01,7.3 
TE,S13,GF07,PC_GDP,AT,2007-01-01,7.4 
TE,S13,GF07,PC_GDP,AT,2008-01-01,7.5 
TE,S13,GF07,PC_GDP,AT,2009-01-01,7.8 
TE,S13,GF07,PC_GDP,AT,2010-01-01,7.9 
TE,S13,GF07,PC_GDP,AT,2011-01-01,7.7 
TE,S13,GF07,PC_GDP,AT,2012-01-01,7.7 
TE,S13,GF07,PC_GDP,AT,2013-01-01,7.8
TE,S13,GF07,PC_GDP,AT,2014-01-01,7.8 
TE,S13,GF07,PC_GDP,AT,2015-01-01,7.9 
TE,S13,GF07,PC_GDP,AT,2016-01-01,8.0 
TE,S13,GF07,PC_GDP,AT,2017-01-01,: 
TE,S13,GF07,PC_GDP,BE,2005-01-01,6.8 
TE,S13,GF07,PC_GDP,BE,2006-01-01,6.6 
TE,S13,GF07,PC_GDP,BE,2007-01-01,6.7 
TE,S13,GF07,PC_GDP,BE,2008-01-01,7.2 
TE,S13,GF07,PC_GDP,BE,2009-01-01,7.7 
TE,S13,GF07,PC_GDP,BE,2010-01-01,7.7 
TE,S13,GF07,PC_GDP,BE,2011-01-01,7.6 
TE,S13,GF07,PC_GDP,BE,2012-01-01,7.9 
TE,S13,GF07,PC_GDP,BE,2013-01-01,8.0
TE,S13,GF07,PC_GDP,BE,2014-01-01,8.1 
TE,S13,GF07,PC_GDP,BE,2015-01-01,7.6 
TE,S13,GF07,PC_GDP,BE,2016-01-01,7.4 
TE,S13,GF07,PC_GDP,BE,2017-01-01,: 
TE,S13,GF07,PC_GDP,BG,2005-01-01,4.9 
TE,S13,GF07,PC_GDP,BG,2006-01-01,3.8 
TE,S13,GF07,PC_GDP,BG,2007-01-01,4.0 
TE,S13,GF07,PC_GDP,BG,2008-01-01,4.4 
TE,S13,GF07,PC_GDP,BG,2009-01-01,4.0 
TE,S13,GF07,PC_GDP,BG,2010-01-01,4.4 
TE,S13,GF07,PC_GDP,BG,2011-01-01,4.2 
TE,S13,GF07,PC_GDP,BG,2012-01-01,4.4 
TE,S13,GF07,PC_GDP,BG,2013-01-01,4.5
TE,S13,GF07,PC_GDP,BG,2014-01-01,5.5 
TE,S13,GF07,PC_GDP,BG,2015-01-01,5.5 
TE,S13,GF07,PC_GDP,BG,2016-01-01,5.0 
TE,S13,GF07,PC_GDP,BG,2017-01-01,: 
TE,S13,GF07,PC_GDP,CH,2005-01-01,1.8 
TE,S13,GF07,PC_GDP,CH,2006-01-01,1.7 
TE,S13,GF07,PC_GDP,CH,2007-01-01,1.7 
TE,S13,GF07,PC_GDP,CH,2008-01-01,1.8 
TE,S13,GF07,PC_GDP,CH,2009-01-01,1.9 
TE,S13,GF07,PC_GDP,CH,2010-01-01,1.9 
TE,S13,GF07,PC_GDP,CH,2011-01-01,1.9 
TE,S13,GF07,PC_GDP,CH,2012-01-01,2.1 
TE,S13,GF07,PC_GDP,CH,2013-01-01,2.2
TE,S13,GF07,PC_GDP,CH,2014-01-01,2.1 
TE,S13,GF07,PC_GDP,CH,2015-01-01,2.2 
TE,S13,GF07,PC_GDP,CH,2016-01-01,2.2 
TE,S13,GF07,PC_GDP,CH,2017-01-01,: 
TE,S13,GF07,PC_GDP,CY,2005-01-01,2.8 
TE,S13,GF07,PC_GDP,CY,2006-01-01,2.8 
TE,S13,GF07,PC_GDP,CY,2007-01-01,2.6 
TE,S13,GF07,PC_GDP,CY,2008-01-01,2.7 
TE,S13,GF07,PC_GDP,CY,2009-01-01,3.0 
TE,S13,GF07,PC_GDP,CY,2010-01-01,3.0 
TE,S13,GF07,PC_GDP,CY,2011-01-01,3.1 
TE,S13,GF07,PC_GDP,CY,2012-01-01,3.0 
TE,S13,GF07,PC_GDP,CY,2013-01-01,3.1
TE,S13,GF07,PC_GDP,CY,2014-01-01,2.6 
TE,S13,GF07,PC_GDP,CY,2015-01-01,2.6 
TE,S13,GF07,PC_GDP,CY,2016-01-01,2.6 
TE,S13,GF07,PC_GDP,CY,2017-01-01,: 
TE,S13,GF07,PC_GDP,CZ,2005-01-01,6.9 
TE,S13,GF07,PC_GDP,CZ,2006-01-01,7.0 
TE,S13,GF07,PC_GDP,CZ,2007-01-01,6.8 
TE,S13,GF07,PC_GDP,CZ,2008-01-01,6.9 
TE,S13,GF07,PC_GDP,CZ,2009-01-01,7.8 
TE,S13,GF07,PC_GDP,CZ,2010-01-01,7.8 
TE,S13,GF07,PC_GDP,CZ,2011-01-01,7.7 
TE,S13,GF07,PC_GDP,CZ,2012-01-01,7.7 
TE,S13,GF07,PC_GDP,CZ,2013-01-01,7.6
TE,S13,GF07,PC_GDP,CZ,2014-01-01,7.6 
TE,S13,GF07,PC_GDP,CZ,2015-01-01,7.6 
TE,S13,GF07,PC_GDP,CZ,2016-01-01,7.4 
TE,S13,GF07,PC_GDP,CZ,2017-01-01,: 
TE,S13,GF07,PC_GDP,DE,2005-01-01,6.5 
TE,S13,GF07,PC_GDP,DE,2006-01-01,6.4 
