areaprot,geo\time,date,value
MPA_KM2,AT,2003-01-01,: 
MPA_KM2,AT,2004-01-01,: 
MPA_KM2,AT,2005-01-01,: 
MPA_KM2,AT,2006-01-01,: 
MPA_KM2,AT,2007-01-01,0 
MPA_KM2,AT,2008-01-01,: 
MPA_KM2,AT,2009-01-01,: 
MPA_KM2,AT,2010-01-01,0 
MPA_KM2,AT,2011-01-01,0 
MPA_KM2,AT,2012-01-01,0 
MPA_KM2,AT,2013-01-01,0
MPA_KM2,AT,2014-01-01,0
MPA_KM2,AT,2015-01-01,0
MPA_KM2,AT,2016-01-01,0
MPA_KM2,AT,2017-01-01,0 
MPA_KM2,BE,2003-01-01,170 
MPA_KM2,BE,2004-01-01,181 
MPA_KM2,BE,2005-01-01,181 
MPA_KM2,BE,2006-01-01,181 
MPA_KM2,BE,2007-01-01,200 
MPA_KM2,BE,2008-01-01,198 
MPA_KM2,BE,2009-01-01,198 
MPA_KM2,BE,2010-01-01,1266 
MPA_KM2,BE,2011-01-01,1263 
MPA_KM2,BE,2012-01-01,1263 
MPA_KM2,BE,2013-01-01,1271
MPA_KM2,BE,2014-01-01,1271
MPA_KM2,BE,2015-01-01,1271
MPA_KM2,BE,2016-01-01,1271
MPA_KM2,BE,2017-01-01,1271 
MPA_KM2,BG,2003-01-01,: 
MPA_KM2,BG,2004-01-01,: 
MPA_KM2,BG,2005-01-01,: 
MPA_KM2,BG,2006-01-01,: 
MPA_KM2,BG,2007-01-01,: 
MPA_KM2,BG,2008-01-01,592 
MPA_KM2,BG,2009-01-01,592 
MPA_KM2,BG,2010-01-01,972 
MPA_KM2,BG,2011-01-01,926 
MPA_KM2,BG,2012-01-01,926 
MPA_KM2,BG,2013-01-01,990
MPA_KM2,BG,2014-01-01,2827
MPA_KM2,BG,2015-01-01,2827
MPA_KM2,BG,2016-01-01,2827
MPA_KM2,BG,2017-01-01,2827 
MPA_KM2,CY,2003-01-01,: 
MPA_KM2,CY,2004-01-01,: 
MPA_KM2,CY,2005-01-01,50 
MPA_KM2,CY,2006-01-01,50 
MPA_KM2,CY,2007-01-01,50 
MPA_KM2,CY,2008-01-01,50 
MPA_KM2,CY,2009-01-01,50 
MPA_KM2,CY,2010-01-01,132 
MPA_KM2,CY,2011-01-01,132 
MPA_KM2,CY,2012-01-01,132 
MPA_KM2,CY,2013-01-01,132
MPA_KM2,CY,2014-01-01,131
MPA_KM2,CY,2015-01-01,131
MPA_KM2,CY,2016-01-01,131
MPA_KM2,CY,2017-01-01,131 
MPA_KM2,CZ,2003-01-01,: 
MPA_KM2,CZ,2004-01-01,: 
MPA_KM2,CZ,2005-01-01,: 
MPA_KM2,CZ,2006-01-01,: 
MPA_KM2,CZ,2007-01-01,: 
MPA_KM2,CZ,2008-01-01,: 
MPA_KM2,CZ,2009-01-01,: 
MPA_KM2,CZ,2010-01-01,0 
MPA_KM2,CZ,2011-01-01,0 
MPA_KM2,CZ,2012-01-01,0 
MPA_KM2,CZ,2013-01-01,0
MPA_KM2,CZ,2014-01-01,0
MPA_KM2,CZ,2015-01-01,0
MPA_KM2,CZ,2016-01-01,0
MPA_KM2,CZ,2017-01-01,0 
MPA_KM2,DE,2003-01-01,7190 
MPA_KM2,DE,2004-01-01,7190 
MPA_KM2,DE,2005-01-01,18034 
MPA_KM2,DE,2006-01-01,18086 
MPA_KM2,DE,2007-01-01,18086 
MPA_KM2,DE,2008-01-01,19134 
MPA_KM2,DE,2009-01-01,19768 
MPA_KM2,DE,2010-01-01,25668 
MPA_KM2,DE,2011-01-01,25667 
MPA_KM2,DE,2012-01-01,25509 
MPA_KM2,DE,2013-01-01,25604
MPA_KM2,DE,2014-01-01,25602
MPA_KM2,DE,2015-01-01,25603
MPA_KM2,DE,2016-01-01,25603
MPA_KM2,DE,2017-01-01,25603 
MPA_KM2,DK,2003-01-01,7959 
MPA_KM2,DK,2004-01-01,7959 
MPA_KM2,DK,2005-01-01,7959 
MPA_KM2,DK,2006-01-01,7959 
MPA_KM2,DK,2007-01-01,7959 
MPA_KM2,DK,2008-01-01,7959 
MPA_KM2,DK,2009-01-01,16145 
MPA_KM2,DK,2010-01-01,18541 
MPA_KM2,DK,2011-01-01,18789 
MPA_KM2,DK,2012-01-01,19012 
MPA_KM2,DK,2013-01-01,19062
MPA_KM2,DK,2014-01-01,19053
MPA_KM2,DK,2015-01-01,19053
MPA_KM2,DK,2016-01-01,19053
MPA_KM2,DK,2017-01-01,19053 
MPA_KM2,EE,2003-01-01,: 
MPA_KM2,EE,2004-01-01,: 
MPA_KM2,EE,2005-01-01,3419 
MPA_KM2,EE,2006-01-01,3419 
MPA_KM2,EE,2007-01-01,3854 
MPA_KM2,EE,2008-01-01,3854 
MPA_KM2,EE,2009-01-01,3752 
MPA_KM2,EE,2010-01-01,6626 
MPA_KM2,EE,2011-01-01,6773 
MPA_KM2,EE,2012-01-01,6771 
MPA_KM2,EE,2013-01-01,6756
MPA_KM2,EE,2014-01-01,6754
MPA_KM2,EE,2015-01-01,6754
MPA_KM2,EE,2016-01-01,6754
MPA_KM2,EE,2017-01-01,6754 
MPA_KM2,EL,2003-01-01,5998 
MPA_KM2,EL,2004-01-01,5998 
MPA_KM2,EL,2005-01-01,5998 
MPA_KM2,EL,2006-01-01,5998 
MPA_KM2,EL,2007-01-01,5998 
MPA_KM2,EL,2008-01-01,5998 
MPA_KM2,EL,2009-01-01,6344 
MPA_KM2,EL,2010-01-01,7151 
MPA_KM2,EL,2011-01-01,6899 
MPA_KM2,EL,2012-01-01,6908 
MPA_KM2,EL,2013-01-01,7186
MPA_KM2,EL,2014-01-01,7199
MPA_KM2,EL,2015-01-01,7199
MPA_KM2,EL,2016-01-01,7199
MPA_KM2,EL,2017-01-01,22796 
MPA_KM2,ES,2003-01-01,5317 
MPA_KM2,ES,2004-01-01,5191 
MPA_KM2,ES,2005-01-01,5191 
MPA_KM2,ES,2006-01-01,5191 
MPA_KM2,ES,2007-01-01,5217 
MPA_KM2,ES,2008-01-01,5548 
MPA_KM2,ES,2009-01-01,7926 
MPA_KM2,ES,2010-01-01,10275 
MPA_KM2,ES,2011-01-01,10193 
MPA_KM2,ES,2012-01-01,10193 
MPA_KM2,ES,2013-01-01,10637
MPA_KM2,ES,2014-01-01,71677
MPA_KM2,ES,2015-01-01,84386
MPA_KM2,ES,2016-01-01,84404
MPA_KM2,ES,2017-01-01,84404 
MPA_KM2,EU27,2003-01-01,: 
MPA_KM2,EU27,2004-01-01,: 
MPA_KM2,EU27,2005-01-01,: 
MPA_KM2,EU27,2006-01-01,: 
MPA_KM2,EU27,2007-01-01,: 
MPA_KM2,EU27,2008-01-01,92894 
MPA_KM2,EU27,2009-01-01,131459 
MPA_KM2,EU27,2010-01-01,198757 
MPA_KM2,EU27,2011-01-01,217464 
MPA_KM2,EU27,2012-01-01,244191 
MPA_KM2,EU27,2013-01-01,246286
MPA_KM2,EU27,2014-01-01,312847
MPA_KM2,EU27,2015-01-01,355364
MPA_KM2,EU27,2016-01-01,390542
MPA_KM2,EU27,2017-01-01,: 
MPA_KM2,EU28,2003-01-01,: 
MPA_KM2,EU28,2004-01-01,: 
MPA_KM2,EU28,2005-01-01,: 
MPA_KM2,EU28,2006-01-01,: 
MPA_KM2,EU28,2007-01-01,: 
MPA_KM2,EU28,2008-01-01,: 
MPA_KM2,EU28,2009-01-01,: 
MPA_KM2,EU28,2010-01-01,: 
MPA_KM2,EU28,2011-01-01,: 
MPA_KM2,EU28,2012-01-01,: 
MPA_KM2,EU28,2013-01-01,251566
MPA_KM2,EU28,2014-01-01,318127
MPA_KM2,EU28,2015-01-01,360350
MPA_KM2,EU28,2016-01-01,395528
MPA_KM2,EU28,2017-01-01,532417 
MPA_KM2,FI,2003-01-01,5142 
MPA_KM2,FI,2004-01-01,5142 
MPA_KM2,FI,2005-01-01,5142 
MPA_KM2,FI,2006-01-01,5460 
MPA_KM2,FI,2007-01-01,5460 
MPA_KM2,FI,2008-01-01,5460 
MPA_KM2,FI,2009-01-01,5460 
MPA_KM2,FI,2010-01-01,6914 
MPA_KM2,FI,2011-01-01,6922 
MPA_KM2,FI,2012-01-01,7225 
MPA_KM2,FI,2013-01-01,7135
MPA_KM2,FI,2014-01-01,7140
MPA_KM2,FI,2015-01-01,7140
