na_item,unit,geo\time,date,value
B1GQ,EUR_M3_CLV10,AL,1990-01-01,: 
B1GQ,EUR_M3_CLV10,AL,1991-01-01,: 
B1GQ,EUR_M3_CLV10,AL,1992-01-01,: 
B1GQ,EUR_M3_CLV10,AL,1993-01-01,: 
B1GQ,EUR_M3_CLV10,AL,1994-01-01,: 
B1GQ,EUR_M3_CLV10,AL,1995-01-01,: 
B1GQ,EUR_M3_CLV10,AL,1996-01-01,: 
B1GQ,EUR_M3_CLV10,AL,1997-01-01,: 
B1GQ,EUR_M3_CLV10,AL,1998-01-01,: 
B1GQ,EUR_M3_CLV10,AL,1999-01-01,: 
B1GQ,EUR_M3_CLV10,AL,2000-01-01,: 
B1GQ,EUR_M3_CLV10,AL,2001-01-01,: 
B1GQ,EUR_M3_CLV10,AL,2002-01-01,: 
B1GQ,EUR_M3_CLV10,AL,2003-01-01,: 
B1GQ,EUR_M3_CLV10,AL,2004-01-01,: 
B1GQ,EUR_M3_CLV10,AL,2005-01-01,: 
B1GQ,EUR_M3_CLV10,AL,2006-01-01,: 
B1GQ,EUR_M3_CLV10,AL,2007-01-01,: 
B1GQ,EUR_M3_CLV10,AL,2008-01-01,: 
B1GQ,EUR_M3_CLV10,AL,2009-01-01,: 
B1GQ,EUR_M3_CLV10,AL,2010-01-01,: 
B1GQ,EUR_M3_CLV10,AL,2011-01-01,: 
B1GQ,EUR_M3_CLV10,AL,2012-01-01,: 
B1GQ,EUR_M3_CLV10,AL,2013-01-01,10.7 s
B1GQ,EUR_M3_CLV10,AL,2014-01-01,16.0 s
B1GQ,EUR_M3_CLV10,AL,2015-01-01,8.2 s
B1GQ,EUR_M3_CLV10,BA,1990-01-01,: 
B1GQ,EUR_M3_CLV10,BA,1991-01-01,: 
B1GQ,EUR_M3_CLV10,BA,1992-01-01,: 
B1GQ,EUR_M3_CLV10,BA,1993-01-01,: 
B1GQ,EUR_M3_CLV10,BA,1994-01-01,: 
B1GQ,EUR_M3_CLV10,BA,1995-01-01,: 
B1GQ,EUR_M3_CLV10,BA,1996-01-01,: 
B1GQ,EUR_M3_CLV10,BA,1997-01-01,: 
B1GQ,EUR_M3_CLV10,BA,1998-01-01,: 
B1GQ,EUR_M3_CLV10,BA,1999-01-01,: 
B1GQ,EUR_M3_CLV10,BA,2000-01-01,: 
B1GQ,EUR_M3_CLV10,BA,2001-01-01,: 
B1GQ,EUR_M3_CLV10,BA,2002-01-01,: 
B1GQ,EUR_M3_CLV10,BA,2003-01-01,: 
B1GQ,EUR_M3_CLV10,BA,2004-01-01,: 
B1GQ,EUR_M3_CLV10,BA,2005-01-01,32.1 
B1GQ,EUR_M3_CLV10,BA,2006-01-01,31.8 
B1GQ,EUR_M3_CLV10,BA,2007-01-01,55.3 
B1GQ,EUR_M3_CLV10,BA,2008-01-01,36.4 
B1GQ,EUR_M3_CLV10,BA,2009-01-01,29.1 
B1GQ,EUR_M3_CLV10,BA,2010-01-01,38.1 s
B1GQ,EUR_M3_CLV10,BA,2011-01-01,39.7 s
B1GQ,EUR_M3_CLV10,BA,2012-01-01,39.5 s
B1GQ,EUR_M3_CLV10,BA,2013-01-01,40.5 s
B1GQ,EUR_M3_CLV10,BA,2014-01-01,31.5 s
B1GQ,EUR_M3_CLV10,BA,2015-01-01,32.0 s
B1GQ,EUR_M3_CLV10,BE,1990-01-01,: 
B1GQ,EUR_M3_CLV10,BE,1991-01-01,: 
B1GQ,EUR_M3_CLV10,BE,1992-01-01,: 
B1GQ,EUR_M3_CLV10,BE,1993-01-01,: 
B1GQ,EUR_M3_CLV10,BE,1994-01-01,: 
B1GQ,EUR_M3_CLV10,BE,1995-01-01,32.7 
B1GQ,EUR_M3_CLV10,BE,1996-01-01,36.3 
B1GQ,EUR_M3_CLV10,BE,1997-01-01,36.9 
B1GQ,EUR_M3_CLV10,BE,1998-01-01,38.7 
B1GQ,EUR_M3_CLV10,BE,1999-01-01,41.6 
B1GQ,EUR_M3_CLV10,BE,2000-01-01,41.3 
B1GQ,EUR_M3_CLV10,BE,2001-01-01,44.8 
B1GQ,EUR_M3_CLV10,BE,2002-01-01,47.3 
B1GQ,EUR_M3_CLV10,BE,2003-01-01,48.2 
B1GQ,EUR_M3_CLV10,BE,2004-01-01,51.7 
B1GQ,EUR_M3_CLV10,BE,2005-01-01,53.2 d
B1GQ,EUR_M3_CLV10,BE,2006-01-01,54.1 
B1GQ,EUR_M3_CLV10,BE,2007-01-01,58.0 
B1GQ,EUR_M3_CLV10,BE,2008-01-01,59.3 
B1GQ,EUR_M3_CLV10,BE,2009-01-01,59.2 
B1GQ,EUR_M3_CLV10,BE,2010-01-01,61.3 s
B1GQ,EUR_M3_CLV10,BE,2011-01-01,73.1 s
B1GQ,EUR_M3_CLV10,BE,2012-01-01,: 
B1GQ,EUR_M3_CLV10,BE,2013-01-01,: 
B1GQ,EUR_M3_CLV10,BE,2014-01-01,: 
B1GQ,EUR_M3_CLV10,BE,2015-01-01,: 
B1GQ,EUR_M3_CLV10,BG,1990-01-01,: 
B1GQ,EUR_M3_CLV10,BG,1991-01-01,: 
B1GQ,EUR_M3_CLV10,BG,1992-01-01,: 
B1GQ,EUR_M3_CLV10,BG,1993-01-01,: 
B1GQ,EUR_M3_CLV10,BG,1994-01-01,: 
B1GQ,EUR_M3_CLV10,BG,1995-01-01,4.2 
B1GQ,EUR_M3_CLV10,BG,1996-01-01,4.1 
B1GQ,EUR_M3_CLV10,BG,1997-01-01,3.2 
B1GQ,EUR_M3_CLV10,BG,1998-01-01,3.2 
B1GQ,EUR_M3_CLV10,BG,1999-01-01,3.4 
B1GQ,EUR_M3_CLV10,BG,2000-01-01,4.0 
B1GQ,EUR_M3_CLV10,BG,2001-01-01,4.3 
B1GQ,EUR_M3_CLV10,BG,2002-01-01,4.1 
B1GQ,EUR_M3_CLV10,BG,2003-01-01,4.1 
B1GQ,EUR_M3_CLV10,BG,2004-01-01,4.8 
B1GQ,EUR_M3_CLV10,BG,2005-01-01,5.3 
B1GQ,EUR_M3_CLV10,BG,2006-01-01,5.2 
B1GQ,EUR_M3_CLV10,BG,2007-01-01,6.0 
B1GQ,EUR_M3_CLV10,BG,2008-01-01,6.1 
B1GQ,EUR_M3_CLV10,BG,2009-01-01,6.2 
B1GQ,EUR_M3_CLV10,BG,2010-01-01,6.4 s
B1GQ,EUR_M3_CLV10,BG,2011-01-01,6.1 s
B1GQ,EUR_M3_CLV10,BG,2012-01-01,6.8 s
B1GQ,EUR_M3_CLV10,BG,2013-01-01,7.2 s
B1GQ,EUR_M3_CLV10,BG,2014-01-01,7.4 s
B1GQ,EUR_M3_CLV10,BG,2015-01-01,7.3 s
B1GQ,EUR_M3_CLV10,CH,1990-01-01,122.5 
B1GQ,EUR_M3_CLV10,CH,1991-01-01,120.0 
B1GQ,EUR_M3_CLV10,CH,1992-01-01,120.0 
B1GQ,EUR_M3_CLV10,CH,1993-01-01,125.7 
B1GQ,EUR_M3_CLV10,CH,1994-01-01,126.0 
B1GQ,EUR_M3_CLV10,CH,1995-01-01,127.8 
B1GQ,EUR_M3_CLV10,CH,1996-01-01,129.3 
B1GQ,EUR_M3_CLV10,CH,1997-01-01,132.2 
B1GQ,EUR_M3_CLV10,CH,1998-01-01,135.7 
B1GQ,EUR_M3_CLV10,CH,1999-01-01,138.3 
B1GQ,EUR_M3_CLV10,CH,2000-01-01,: 
B1GQ,EUR_M3_CLV10,CH,2001-01-01,: 
B1GQ,EUR_M3_CLV10,CH,2002-01-01,: 
B1GQ,EUR_M3_CLV10,CH,2003-01-01,: 
B1GQ,EUR_M3_CLV10,CH,2004-01-01,: 
B1GQ,EUR_M3_CLV10,CH,2005-01-01,: 
B1GQ,EUR_M3_CLV10,CH,2006-01-01,: 
B1GQ,EUR_M3_CLV10,CH,2007-01-01,: 
B1GQ,EUR_M3_CLV10,CH,2008-01-01,: 
B1GQ,EUR_M3_CLV10,CH,2009-01-01,: 
B1GQ,EUR_M3_CLV10,CH,2010-01-01,: 
B1GQ,EUR_M3_CLV10,CH,2011-01-01,: 
B1GQ,EUR_M3_CLV10,CH,2012-01-01,226.0 s
B1GQ,EUR_M3_CLV10,CH,2013-01-01,: 
B1GQ,EUR_M3_CLV10,CH,2014-01-01,: 
B1GQ,EUR_M3_CLV10,CH,2015-01-01,: 
B1GQ,EUR_M3_CLV10,CY,1990-01-01,: 
B1GQ,EUR_M3_CLV10,CY,1991-01-01,: 
B1GQ,EUR_M3_CLV10,CY,1992-01-01,: 
B1GQ,EUR_M3_CLV10,CY,1993-01-01,: 
B1GQ,EUR_M3_CLV10,CY,1994-01-01,: 
B1GQ,EUR_M3_CLV10,CY,1995-01-01,: 
B1GQ,EUR_M3_CLV10,CY,1996-01-01,: 
B1GQ,EUR_M3_CLV10,CY,1997-01-01,: 
B1GQ,EUR_M3_CLV10,CY,1998-01-01,71.2 
