unit,na_item,geotime,date,value
PCH_PRE,NULC_PER,AT,2005-01-01,1.0
PCH_PRE,NULC_PER,AT,2006-01-01,1.4
PCH_PRE,NULC_PER,AT,2007-01-01,1.1
PCH_PRE,NULC_PER,AT,2008-01-01,3.7
PCH_PRE,NULC_PER,AT,2009-01-01,5.1
PCH_PRE,NULC_PER,AT,2010-01-01,0.0
PCH_PRE,NULC_PER,AT,2011-01-01,0.7
PCH_PRE,NULC_PER,AT,2012-01-01,3.1
PCH_PRE,NULC_PER,AT,2013-01-01,2.5
PCH_PRE,NULC_PER,AT,2014-01-01,2.2
PCH_PRE,NULC_PER,AT,2015-01-01,1.4
PCH_PRE,NULC_PER,AT,2016-01-01,1.6
PCH_PRE,NULC_PER,AT,2017-01-01,0.6
PCH_PRE,NULC_PER,BE,2005-01-01,1.1
PCH_PRE,NULC_PER,BE,2006-01-01,2.2
PCH_PRE,NULC_PER,BE,2007-01-01,1.8
PCH_PRE,NULC_PER,BE,2008-01-01,4.7
PCH_PRE,NULC_PER,BE,2009-01-01,3.2
PCH_PRE,NULC_PER,BE,2010-01-01,-0.7
PCH_PRE,NULC_PER,BE,2011-01-01,2.7
PCH_PRE,NULC_PER,BE,2012-01-01,3.4
PCH_PRE,NULC_PER,BE,2013-01-01,2.0
PCH_PRE,NULC_PER,BE,2014-01-01,0.1
PCH_PRE,NULC_PER,BE,2015-01-01,-0.8
PCH_PRE,NULC_PER,BE,2016-01-01,0.3
PCH_PRE,NULC_PER,BE,2017-01-01,1.6
PCH_PRE,NULC_PER,BG,2005-01-01,4.8
PCH_PRE,NULC_PER,BG,2006-01-01,2.8
PCH_PRE,NULC_PER,BG,2007-01-01,8.3
PCH_PRE,NULC_PER,BG,2008-01-01,12.8
PCH_PRE,NULC_PER,BG,2009-01-01,10.2
PCH_PRE,NULC_PER,BG,2010-01-01,4.3
PCH_PRE,NULC_PER,BG,2011-01-01,2.5
PCH_PRE,NULC_PER,BG,2012-01-01,5.0
PCH_PRE,NULC_PER,BG,2013-01-01,7.8
PCH_PRE,NULC_PER,BG,2014-01-01,4.1
PCH_PRE,NULC_PER,BG,2015-01-01,2.5
PCH_PRE,NULC_PER,BG,2016-01-01,2.3
PCH_PRE,NULC_PER,BG,2017-01-01,8.4
PCH_PRE,NULC_PER,CH,2005-01-01,0.1
PCH_PRE,NULC_PER,CH,2006-01-01,0.1
PCH_PRE,NULC_PER,CH,2007-01-01,1.7
PCH_PRE,NULC_PER,CH,2008-01-01,2.2
PCH_PRE,NULC_PER,CH,2009-01-01,3.4
PCH_PRE,NULC_PER,CH,2010-01-01,0.4
PCH_PRE,NULC_PER,CH,2011-01-01,1.9
PCH_PRE,NULC_PER,CH,2012-01-01,1.3
PCH_PRE,NULC_PER,CH,2013-01-01,0.6
PCH_PRE,NULC_PER,CH,2014-01-01,-1.1
PCH_PRE,NULC_PER,CH,2015-01-01,0.0
PCH_PRE,NULC_PER,CH,2016-01-01,-0.2
PCH_PRE,NULC_PER,CH,2017-01-01,0.0
PCH_PRE,NULC_PER,CY,2005-01-01,5.4
PCH_PRE,NULC_PER,CY,2006-01-01,1.4
PCH_PRE,NULC_PER,CY,2007-01-01,1.2
PCH_PRE,NULC_PER,CY,2008-01-01,3.1
PCH_PRE,NULC_PER,CY,2009-01-01,7.9
PCH_PRE,NULC_PER,CY,2010-01-01,-0.2
PCH_PRE,NULC_PER,CY,2011-01-01,1.7
PCH_PRE,NULC_PER,CY,2012-01-01,1.4
PCH_PRE,NULC_PER,CY,2013-01-01,-5.5
PCH_PRE,NULC_PER,CY,2014-01-01,-4.0
PCH_PRE,NULC_PER,CY,2015-01-01,-1.7
PCH_PRE,NULC_PER,CY,2016-01-01,-1.4
PCH_PRE,NULC_PER,CY,2017-01-01,0.4
PCH_PRE,NULC_PER,CZ,2005-01-01,-0.6
PCH_PRE,NULC_PER,CZ,2006-01-01,0.5
PCH_PRE,NULC_PER,CZ,2007-01-01,2.6
PCH_PRE,NULC_PER,CZ,2008-01-01,3.6
PCH_PRE,NULC_PER,CZ,2009-01-01,2.6
PCH_PRE,NULC_PER,CZ,2010-01-01,0.1
PCH_PRE,NULC_PER,CZ,2011-01-01,0.7
PCH_PRE,NULC_PER,CZ,2012-01-01,3.0
PCH_PRE,NULC_PER,CZ,2013-01-01,0.5
PCH_PRE,NULC_PER,CZ,2014-01-01,0.4
PCH_PRE,NULC_PER,CZ,2015-01-01,-0.8
PCH_PRE,NULC_PER,CZ,2016-01-01,3.1
PCH_PRE,NULC_PER,CZ,2017-01-01,3.6
PCH_PRE,NULC_PER,DE,2005-01-01,-0.5
PCH_PRE,NULC_PER,DE,2006-01-01,-1.8
PCH_PRE,NULC_PER,DE,2007-01-01,-0.6
PCH_PRE,NULC_PER,DE,2008-01-01,2.3
PCH_PRE,NULC_PER,DE,2009-01-01,6.3
PCH_PRE,NULC_PER,DE,2010-01-01,-1.2
PCH_PRE,NULC_PER,DE,2011-01-01,0.7
PCH_PRE,NULC_PER,DE,2012-01-01,3.2
PCH_PRE,NULC_PER,DE,2013-01-01,1.9
PCH_PRE,NULC_PER,DE,2014-01-01,1.4
PCH_PRE,NULC_PER,DE,2015-01-01,1.9
PCH_PRE,NULC_PER,DE,2016-01-01,1.3
PCH_PRE,NULC_PER,DE,2017-01-01,1.8
PCH_PRE,NULC_PER,DK,2005-01-01,2.4
PCH_PRE,NULC_PER,DK,2006-01-01,1.9
PCH_PRE,NULC_PER,DK,2007-01-01,5.2
PCH_PRE,NULC_PER,DK,2008-01-01,5.7
PCH_PRE,NULC_PER,DK,2009-01-01,4.7
PCH_PRE,NULC_PER,DK,2010-01-01,-1.0
PCH_PRE,NULC_PER,DK,2011-01-01,0.0
PCH_PRE,NULC_PER,DK,2012-01-01,0.9
PCH_PRE,NULC_PER,DK,2013-01-01,0.6
PCH_PRE,NULC_PER,DK,2014-01-01,0.8
PCH_PRE,NULC_PER,DK,2015-01-01,1.6
PCH_PRE,NULC_PER,DK,2016-01-01,0.9
PCH_PRE,NULC_PER,DK,2017-01-01,0.5
PCH_PRE,NULC_PER,EA,2005-01-01,1.4
PCH_PRE,NULC_PER,EA,2006-01-01,0.8
PCH_PRE,NULC_PER,EA,2007-01-01,1.3
PCH_PRE,NULC_PER,EA,2008-01-01,3.7
PCH_PRE,NULC_PER,EA,2009-01-01,4.5
PCH_PRE,NULC_PER,EA,2010-01-01,-0.6
PCH_PRE,NULC_PER,EA,2011-01-01,0.5
PCH_PRE,NULC_PER,EA,2012-01-01,1.9
PCH_PRE,NULC_PER,EA,2013-01-01,1.1
PCH_PRE,NULC_PER,EA,2014-01-01,0.6
PCH_PRE,NULC_PER,EA,2015-01-01,0.4
PCH_PRE,NULC_PER,EA,2016-01-01,0.6
PCH_PRE,NULC_PER,EA,2017-01-01,0.8
PCH_PRE,NULC_PER,EA19,2005-01-01,1.5
PCH_PRE,NULC_PER,EA19,2006-01-01,0.9
PCH_PRE,NULC_PER,EA19,2007-01-01,1.4
PCH_PRE,NULC_PER,EA19,2008-01-01,3.8
PCH_PRE,NULC_PER,EA19,2009-01-01,4.4
PCH_PRE,NULC_PER,EA19,2010-01-01,-0.6
PCH_PRE,NULC_PER,EA19,2011-01-01,0.5
PCH_PRE,NULC_PER,EA19,2012-01-01,1.9
PCH_PRE,NULC_PER,EA19,2013-01-01,1.2
PCH_PRE,NULC_PER,EA19,2014-01-01,0.6
PCH_PRE,NULC_PER,EA19,2015-01-01,0.4
PCH_PRE,NULC_PER,EA19,2016-01-01,0.6
PCH_PRE,NULC_PER,EA19,2017-01-01,0.8
PCH_PRE,NULC_PER,EE,2005-01-01,3.4
PCH_PRE,NULC_PER,EE,2006-01-01,9.2
PCH_PRE,NULC_PER,EE,2007-01-01,16.8
PCH_PRE,NULC_PER,EE,2008-01-01,16.7
PCH_PRE,NULC_PER,EE,2009-01-01,2.2
PCH_PRE,NULC_PER,EE,2010-01-01,-4.6
PCH_PRE,NULC_PER,EE,2011-01-01,-0.2
PCH_PRE,NULC_PER,EE,2012-01-01,5.0
PCH_PRE,NULC_PER,EE,2013-01-01,4.1
PCH_PRE,NULC_PER,EE,2014-01-01,4.3
PCH_PRE,NULC_PER,EE,2015-01-01,4.3
PCH_PRE,NULC_PER,EE,2016-01-01,3.0
PCH_PRE,NULC_PER,EE,2017-01-01,4.7
PCH_PRE,NULC_PER,EL,2005-01-01,8.9
PCH_PRE,NULC_PER,EL,2006-01-01,-0.7
PCH_PRE,NULC_PER,EL,2007-01-01,2.6
PCH_PRE,NULC_PER,EL,2008-01-01,5.3
PCH_PRE,NULC_PER,EL,2009-01-01,7.1
PCH_PRE,NULC_PER,EL,2010-01-01,1.0
PCH_PRE,NULC_PER,EL,2011-01-01,-1.4
PCH_PRE,NULC_PER,EL,2012-01-01,-2.0
PCH_PRE,NULC_PER,EL,2013-01-01,-6.9
PCH_PRE,NULC_PER,EL,2014-01-01,-1.8
PCH_PRE,NULC_PER,EL,2015-01-01,-1.3
PCH_PRE,NULC_PER,EL,2016-01-01,-0.3
PCH_PRE,NULC_PER,EL,2017-01-01,0.6
PCH_PRE,NULC_PER,ES,2005-01-01,3.5
PCH_PRE,NULC_PER,ES,2006-01-01,3.3
PCH_PRE,NULC_PER,ES,2007-01-01,4.1
PCH_PRE,NULC_PER,ES,2008-01-01,5.7
PCH_PRE,NULC_PER,ES,2009-01-01,1.6
PCH_PRE,NULC_PER,ES,2010-01-01,-1.6
PCH_PRE,NULC_PER,ES,2011-01-01,-1.0
PCH_PRE,NULC_PER,ES,2012-01-01,-2.6
PCH_PRE,NULC_PER,ES,2013-01-01,-0.6
PCH_PRE,NULC_PER,ES,2014-01-01,-0.3
PCH_PRE,NULC_PER,ES,2015-01-01,0.6
PCH_PRE,NULC_PER,ES,2016-01-01,-0.7
PCH_PRE,NULC_PER,ES,2017-01-01,0.2
PCH_PRE,NULC_PER,EU28,2005-01-01,1.6
PCH_PRE,NULC_PER,EU28,2006-01-01,1.4
PCH_PRE,NULC_PER,EU28,2007-01-01,2.1
PCH_PRE,NULC_PER,EU28,2008-01-01,1.0
PCH_PRE,NULC_PER,EU28,2009-01-01,1.7
PCH_PRE,NULC_PER,EU28,2010-01-01,1.0
PCH_PRE,NULC_PER,EU28,2011-01-01,0.2
PCH_PRE,NULC_PER,EU28,2012-01-01,2.9
PCH_PRE,NULC_PER,EU28,2013-01-01,0.4
PCH_PRE,NULC_PER,EU28,2014-01-01,1.1
PCH_PRE,NULC_PER,EU28,2015-01-01,1.9
PCH_PRE,NULC_PER,EU28,2016-01-01,-1.3
PCH_PRE,NULC_PER,EU28,2017-01-01,0.2
PCH_PRE,NULC_PER,FI,2005-01-01,2.3
PCH_PRE,NULC_PER,FI,2006-01-01,1.2
PCH_PRE,NULC_PER,FI,2007-01-01,0.3
PCH_PRE,NULC_PER,FI,2008-01-01,5.8
PCH_PRE,NULC_PER,FI,2009-01-01,8.5
PCH_PRE,NULC_PER,FI,2010-01-01,-1.4
PCH_PRE,NULC_PER,FI,2011-01-01,2.3
PCH_PRE,NULC_PER,FI,2012-01-01,5.2
PCH_PRE,NULC_PER,FI,2013-01-01,1.4
PCH_PRE,NULC_PER,FI,2014-01-01,1.1
