sex,age,unit,geo\time,date,value
T,TOTAL,PC,AT,2003-01-01,15.7 
T,TOTAL,PC,AT,2004-01-01,17.9 
T,TOTAL,PC,AT,2005-01-01,17.4 
T,TOTAL,PC,AT,2006-01-01,17.8 
T,TOTAL,PC,AT,2007-01-01,16.7 
T,TOTAL,PC,AT,2008-01-01,20.6 b
T,TOTAL,PC,AT,2009-01-01,19.1 
T,TOTAL,PC,AT,2010-01-01,18.9 
T,TOTAL,PC,AT,2011-01-01,19.2 
T,TOTAL,PC,AT,2012-01-01,18.5 
T,TOTAL,PC,AT,2013-01-01,18.8 
T,TOTAL,PC,AT,2014-01-01,19.2 
T,TOTAL,PC,AT,2015-01-01,18.3 
T,TOTAL,PC,AT,2016-01-01,18.0 
T,TOTAL,PC,AT,2017-01-01,18.1 
T,TOTAL,PC,BE,2003-01-01,23.4 
T,TOTAL,PC,BE,2004-01-01,21.6 
T,TOTAL,PC,BE,2005-01-01,22.6 
T,TOTAL,PC,BE,2006-01-01,21.5 
T,TOTAL,PC,BE,2007-01-01,21.6 
T,TOTAL,PC,BE,2008-01-01,20.8 
T,TOTAL,PC,BE,2009-01-01,20.2 
T,TOTAL,PC,BE,2010-01-01,20.8 
T,TOTAL,PC,BE,2011-01-01,21.0 
T,TOTAL,PC,BE,2012-01-01,21.6 
T,TOTAL,PC,BE,2013-01-01,20.8 
T,TOTAL,PC,BE,2014-01-01,21.2 
T,TOTAL,PC,BE,2015-01-01,21.1 
T,TOTAL,PC,BE,2016-01-01,20.7 
T,TOTAL,PC,BE,2017-01-01,20.3 
T,TOTAL,PC,BG,2003-01-01,: 
T,TOTAL,PC,BG,2004-01-01,: 
T,TOTAL,PC,BG,2005-01-01,: 
T,TOTAL,PC,BG,2006-01-01,61.3 
T,TOTAL,PC,BG,2007-01-01,60.7 
T,TOTAL,PC,BG,2008-01-01,44.8 b
T,TOTAL,PC,BG,2009-01-01,46.2 
T,TOTAL,PC,BG,2010-01-01,49.2 
T,TOTAL,PC,BG,2011-01-01,49.1 
T,TOTAL,PC,BG,2012-01-01,49.3 
T,TOTAL,PC,BG,2013-01-01,48.0 
T,TOTAL,PC,BG,2014-01-01,40.1 b
T,TOTAL,PC,BG,2015-01-01,41.3 
T,TOTAL,PC,BG,2016-01-01,40.4 b
T,TOTAL,PC,BG,2017-01-01,38.9 
T,TOTAL,PC,CH,2003-01-01,: 
T,TOTAL,PC,CH,2004-01-01,: 
T,TOTAL,PC,CH,2005-01-01,: 
T,TOTAL,PC,CH,2006-01-01,: 
T,TOTAL,PC,CH,2007-01-01,17.9 
T,TOTAL,PC,CH,2008-01-01,18.1 
T,TOTAL,PC,CH,2009-01-01,17.9 
T,TOTAL,PC,CH,2010-01-01,17.2 
T,TOTAL,PC,CH,2011-01-01,17.2 
T,TOTAL,PC,CH,2012-01-01,17.5 
T,TOTAL,PC,CH,2013-01-01,16.3 
T,TOTAL,PC,CH,2014-01-01,16.4 b
T,TOTAL,PC,CH,2015-01-01,18.2 
T,TOTAL,PC,CH,2016-01-01,17.8 
T,TOTAL,PC,CH,2017-01-01,: 
T,TOTAL,PC,CY,2003-01-01,: 
T,TOTAL,PC,CY,2004-01-01,: 
T,TOTAL,PC,CY,2005-01-01,25.3 
T,TOTAL,PC,CY,2006-01-01,25.4 
T,TOTAL,PC,CY,2007-01-01,25.2 
T,TOTAL,PC,CY,2008-01-01,23.3 b
T,TOTAL,PC,CY,2009-01-01,23.5 
T,TOTAL,PC,CY,2010-01-01,24.6 
T,TOTAL,PC,CY,2011-01-01,24.6 
T,TOTAL,PC,CY,2012-01-01,27.1 
T,TOTAL,PC,CY,2013-01-01,27.8 
T,TOTAL,PC,CY,2014-01-01,27.4 
T,TOTAL,PC,CY,2015-01-01,28.9 
T,TOTAL,PC,CY,2016-01-01,27.7 
T,TOTAL,PC,CY,2017-01-01,25.2 
T,TOTAL,PC,CZ,2003-01-01,: 
T,TOTAL,PC,CZ,2004-01-01,: 
T,TOTAL,PC,CZ,2005-01-01,19.6 
T,TOTAL,PC,CZ,2006-01-01,18.0 
T,TOTAL,PC,CZ,2007-01-01,15.8 
T,TOTAL,PC,CZ,2008-01-01,15.3 
T,TOTAL,PC,CZ,2009-01-01,14.0 
T,TOTAL,PC,CZ,2010-01-01,14.4 
T,TOTAL,PC,CZ,2011-01-01,15.3 
T,TOTAL,PC,CZ,2012-01-01,15.4 
T,TOTAL,PC,CZ,2013-01-01,14.6 
T,TOTAL,PC,CZ,2014-01-01,14.8 
T,TOTAL,PC,CZ,2015-01-01,14.0 
T,TOTAL,PC,CZ,2016-01-01,13.3 
T,TOTAL,PC,CZ,2017-01-01,12.2 
T,TOTAL,PC,DE,2003-01-01,: 
T,TOTAL,PC,DE,2004-01-01,: 
T,TOTAL,PC,DE,2005-01-01,18.4 
T,TOTAL,PC,DE,2006-01-01,20.2 
T,TOTAL,PC,DE,2007-01-01,20.6 
T,TOTAL,PC,DE,2008-01-01,20.1 
T,TOTAL,PC,DE,2009-01-01,20.0 
T,TOTAL,PC,DE,2010-01-01,19.7 
T,TOTAL,PC,DE,2011-01-01,19.9 
T,TOTAL,PC,DE,2012-01-01,19.6 
T,TOTAL,PC,DE,2013-01-01,20.3 
T,TOTAL,PC,DE,2014-01-01,20.6 
T,TOTAL,PC,DE,2015-01-01,20.0 
T,TOTAL,PC,DE,2016-01-01,19.7 
T,TOTAL,PC,DE,2017-01-01,19.0 
T,TOTAL,PC,DK,2003-01-01,16.9 
T,TOTAL,PC,DK,2004-01-01,16.5 
T,TOTAL,PC,DK,2005-01-01,17.2 
T,TOTAL,PC,DK,2006-01-01,16.7 
T,TOTAL,PC,DK,2007-01-01,16.8 
T,TOTAL,PC,DK,2008-01-01,16.3 
T,TOTAL,PC,DK,2009-01-01,17.6 
T,TOTAL,PC,DK,2010-01-01,18.3 
