indic_bt,s_adj,unit,nace_r2,geotime,date,value
PRON,NSA,I15,H494,AT,2015-10-01,99.6 
PRON,NSA,I15,H494,AT,2016-01-01,98.8 
PRON,NSA,I15,H494,AT,2016-04-01,98.7 
PRON,NSA,I15,H494,AT,2016-07-01,98.7 
PRON,NSA,I15,H494,AT,2016-10-01,98.7 
PRON,NSA,I15,H494,AT,2017-01-01,99.0 
PRON,NSA,I15,H494,AT,2017-04-01,99.2 
PRON,NSA,I15,H494,AT,2017-07-01,99.2 
PRON,NSA,I15,H494,AT,2017-10-01,98.9 
PRON,NSA,I15,H494,AT,2018-01-01,99.2 
PRON,NSA,I15,H494,AT,2018-04-01,100.0 p
PRON,NSA,I15,H494,AT,2018-07-01,
PRON,NSA,I15,H494,BE,2015-10-01,99.9 
PRON,NSA,I15,H494,BE,2016-01-01,99.8 
PRON,NSA,I15,H494,BE,2016-04-01,101.8 
PRON,NSA,I15,H494,BE,2016-07-01,101.9 
PRON,NSA,I15,H494,BE,2016-10-01,102.5 
PRON,NSA,I15,H494,BE,2017-01-01,103.4 
PRON,NSA,I15,H494,BE,2017-04-01,103.3 
PRON,NSA,I15,H494,BE,2017-07-01,103.8 
PRON,NSA,I15,H494,BE,2017-10-01,104.4 
PRON,NSA,I15,H494,BE,2018-01-01,105.3 
PRON,NSA,I15,H494,BE,2018-04-01,105.9 
PRON,NSA,I15,H494,BE,2018-07-01,
PRON,NSA,I15,H494,BG,2015-10-01,99.7 
PRON,NSA,I15,H494,BG,2016-01-01,98.8 
PRON,NSA,I15,H494,BG,2016-04-01,98.5 
PRON,NSA,I15,H494,BG,2016-07-01,98.8 
PRON,NSA,I15,H494,BG,2016-10-01,98.9 
PRON,NSA,I15,H494,BG,2017-01-01,99.5 
PRON,NSA,I15,H494,BG,2017-04-01,99.5 
PRON,NSA,I15,H494,BG,2017-07-01,99.8 
PRON,NSA,I15,H494,BG,2017-10-01,100.3 
PRON,NSA,I15,H494,BG,2018-01-01,100.6 
PRON,NSA,I15,H494,BG,2018-04-01,100.8 
PRON,NSA,I15,H494,BG,2018-07-01,
PRON,NSA,I15,H494,CY,2015-10-01,99.4 
PRON,NSA,I15,H494,CY,2016-01-01,98.4 
PRON,NSA,I15,H494,CY,2016-04-01,98.3 
PRON,NSA,I15,H494,CY,2016-07-01,99.1 
PRON,NSA,I15,H494,CY,2016-10-01,99.2 
PRON,NSA,I15,H494,CY,2017-01-01,99.7 
PRON,NSA,I15,H494,CY,2017-04-01,99.7 
PRON,NSA,I15,H494,CY,2017-07-01,99.2 
PRON,NSA,I15,H494,CY,2017-10-01,99.6 
PRON,NSA,I15,H494,CY,2018-01-01,100.0 
PRON,NSA,I15,H494,CY,2018-04-01,99.7 
PRON,NSA,I15,H494,CY,2018-07-01,
PRON,NSA,I15,H494,CZ,2015-10-01,99.9 
PRON,NSA,I15,H494,CZ,2016-01-01,100.1 
PRON,NSA,I15,H494,CZ,2016-04-01,100.2 
PRON,NSA,I15,H494,CZ,2016-07-01,100.2 
PRON,NSA,I15,H494,CZ,2016-10-01,100.3 
PRON,NSA,I15,H494,CZ,2017-01-01,100.7 
PRON,NSA,I15,H494,CZ,2017-04-01,100.7 
PRON,NSA,I15,H494,CZ,2017-07-01,100.7 
PRON,NSA,I15,H494,CZ,2017-10-01,100.8 
PRON,NSA,I15,H494,CZ,2018-01-01,101.2 
PRON,NSA,I15,H494,CZ,2018-04-01,102.2 
PRON,NSA,I15,H494,CZ,2018-07-01,
PRON,NSA,I15,H494,DE,2015-10-01,99.9 
PRON,NSA,I15,H494,DE,2016-01-01,99.3 
PRON,NSA,I15,H494,DE,2016-04-01,99.2 
PRON,NSA,I15,H494,DE,2016-07-01,99.3 
PRON,NSA,I15,H494,DE,2016-10-01,99.3 
PRON,NSA,I15,H494,DE,2017-01-01,99.7 
PRON,NSA,I15,H494,DE,2017-04-01,99.8 
PRON,NSA,I15,H494,DE,2017-07-01,99.9 
PRON,NSA,I15,H494,DE,2017-10-01,100.3 
PRON,NSA,I15,H494,DE,2018-01-01,101.3 
PRON,NSA,I15,H494,DE,2018-04-01,101.9 
PRON,NSA,I15,H494,DE,2018-07-01,
PRON,NSA,I15,H494,DK,2015-10-01,100.5 
PRON,NSA,I15,H494,DK,2016-01-01,100.5 
PRON,NSA,I15,H494,DK,2016-04-01,100.4 
PRON,NSA,I15,H494,DK,2016-07-01,100.9 
PRON,NSA,I15,H494,DK,2016-10-01,100.8 
PRON,NSA,I15,H494,DK,2017-01-01,101.5 
PRON,NSA,I15,H494,DK,2017-04-01,102.4 
PRON,NSA,I15,H494,DK,2017-07-01,102.6 
PRON,NSA,I15,H494,DK,2017-10-01,103.1 
PRON,NSA,I15,H494,DK,2018-01-01,103.4 
PRON,NSA,I15,H494,DK,2018-04-01,103.6 
PRON,NSA,I15,H494,DK,2018-07-01,
PRON,NSA,I15,H494,EA19,2015-10-01,99.7 
PRON,NSA,I15,H494,EA19,2016-01-01,98.4 
PRON,NSA,I15,H494,EA19,2016-04-01,99.1 
PRON,NSA,I15,H494,EA19,2016-07-01,99.6 
PRON,NSA,I15,H494,EA19,2016-10-01,99.4 
PRON,NSA,I15,H494,EA19,2017-01-01,98.6 
PRON,NSA,I15,H494,EA19,2017-04-01,99.2 
PRON,NSA,I15,H494,EA19,2017-07-01,99.6 
PRON,NSA,I15,H494,EA19,2017-10-01,100.1 
PRON,NSA,I15,H494,EA19,2018-01-01,100.5 
PRON,NSA,I15,H494,EA19,2018-04-01,101.3 
PRON,NSA,I15,H494,EA19,2018-07-01,
PRON,NSA,I15,H494,EE,2015-10-01,99.1 
PRON,NSA,I15,H494,EE,2016-01-01,98.4 
PRON,NSA,I15,H494,EE,2016-04-01,98.4 
PRON,NSA,I15,H494,EE,2016-07-01,98.1 
PRON,NSA,I15,H494,EE,2016-10-01,98.1 
PRON,NSA,I15,H494,EE,2017-01-01,99.3 
PRON,NSA,I15,H494,EE,2017-04-01,99.2 
PRON,NSA,I15,H494,EE,2017-07-01,98.2 
PRON,NSA,I15,H494,EE,2017-10-01,97.9 
PRON,NSA,I15,H494,EE,2018-01-01,99.8 
PRON,NSA,I15,H494,EE,2018-04-01,100.3 
PRON,NSA,I15,H494,EE,2018-07-01,
PRON,NSA,I15,H494,EL,2015-10-01,100.2 
PRON,NSA,I15,H494,EL,2016-01-01,99.4 
PRON,NSA,I15,H494,EL,2016-04-01,99.3 
PRON,NSA,I15,H494,EL,2016-07-01,99.9 
PRON,NSA,I15,H494,EL,2016-10-01,100.0 
PRON,NSA,I15,H494,EL,2017-01-01,100.0 
PRON,NSA,I15,H494,EL,2017-04-01,100.3 
PRON,NSA,I15,H494,EL,2017-07-01,100.3 
PRON,NSA,I15,H494,EL,2017-10-01,100.4 
PRON,NSA,I15,H494,EL,2018-01-01,100.2 
PRON,NSA,I15,H494,EL,2018-04-01,100.3 
PRON,NSA,I15,H494,EL,2018-07-01,
PRON,NSA,I15,H494,ES,2015-10-01,100.2 
PRON,NSA,I15,H494,ES,2016-01-01,97.0 
PRON,NSA,I15,H494,ES,2016-04-01,98.2 
PRON,NSA,I15,H494,ES,2016-07-01,99.9 
PRON,NSA,I15,H494,ES,2016-10-01,100.1 
PRON,NSA,I15,H494,ES,2017-01-01,97.0 
PRON,NSA,I15,H494,ES,2017-04-01,97.9 
PRON,NSA,I15,H494,ES,2017-07-01,99.3 p
PRON,NSA,I15,H494,ES,2017-10-01,101.5 p
PRON,NSA,I15,H494,ES,2018-01-01,98.5 p
PRON,NSA,I15,H494,ES,2018-04-01,99.7 p
PRON,NSA,I15,H494,ES,2018-07-01,
PRON,NSA,I15,H494,EU28,2015-10-01,100.0 
PRON,NSA,I15,H494,EU28,2016-01-01,99.2 
PRON,NSA,I15,H494,EU28,2016-04-01,99.9 
PRON,NSA,I15,H494,EU28,2016-07-01,100.3 
