unit,indic_env,sourcetime,date,value
DEGC,TD_EUR,GISTEMP,1850-01-01,
DEGC,TD_EUR,GISTEMP,1860-01-01,
DEGC,TD_EUR,GISTEMP,1870-01-01,
DEGC,TD_EUR,GISTEMP,1880-01-01,
DEGC,TD_EUR,GISTEMP,1890-01-01,
DEGC,TD_EUR,GISTEMP,1900-01-01,
DEGC,TD_EUR,GISTEMP,1910-01-01,
DEGC,TD_EUR,GISTEMP,1920-01-01,
DEGC,TD_EUR,GISTEMP,1930-01-01,
DEGC,TD_EUR,GISTEMP,1940-01-01,
DEGC,TD_EUR,GISTEMP,1950-01-01,
DEGC,TD_EUR,GISTEMP,1960-01-01,
DEGC,TD_EUR,GISTEMP,1970-01-01,
DEGC,TD_EUR,GISTEMP,1980-01-01,
DEGC,TD_EUR,GISTEMP,1990-01-01,
DEGC,TD_EUR,GISTEMP,2000-01-01,
DEGC,TD_EUR,GISTEMP,2001-01-01,
DEGC,TD_EUR,GISTEMP,2002-01-01,
DEGC,TD_EUR,GISTEMP,2003-01-01,
DEGC,TD_EUR,GISTEMP,2004-01-01,
DEGC,TD_EUR,GISTEMP,2005-01-01,
DEGC,TD_EUR,GISTEMP,2006-01-01,
DEGC,TD_EUR,GISTEMP,2007-01-01,
DEGC,TD_EUR,GISTEMP,2008-01-01,
DEGC,TD_EUR,GISTEMP,2009-01-01,
DEGC,TD_EUR,GISTEMP,2010-01-01,
DEGC,TD_EUR,GISTEMP,2011-01-01,
DEGC,TD_EUR,GISTEMP,2012-01-01,
DEGC,TD_EUR,GISTEMP,2013-01-01,
DEGC,TD_EUR,GISTEMP,2014-01-01,
DEGC,TD_EUR,GISTEMP,2015-01-01,
DEGC,TD_EUR,GISTEMP,2016-01-01,
DEGC,TD_EUR,GISTEMP,2017-01-01,
DEGC,TD_EUR,HADCRUT4,1850-01-01,0
DEGC,TD_EUR,HADCRUT4,1860-01-01,0
DEGC,TD_EUR,HADCRUT4,1870-01-01,0
DEGC,TD_EUR,HADCRUT4,1880-01-01,
DEGC,TD_EUR,HADCRUT4,1890-01-01,
DEGC,TD_EUR,HADCRUT4,1900-01-01,
DEGC,TD_EUR,HADCRUT4,1910-01-01,
DEGC,TD_EUR,HADCRUT4,1920-01-01,
DEGC,TD_EUR,HADCRUT4,1930-01-01,
DEGC,TD_EUR,HADCRUT4,1940-01-01,
